1,0,3,0,0,1,1,0,0,0,2,2
2,1,1,1,1,1,1,0,0,2,0,0
3,1,3,1,1,1,0,0,1,0,2,2
4,1,1,1,1,1,1,0,0,1,0,2
5,0,3,0,0,1,0,0,1,0,2,2
6,0,3,0,0,1,0,0,1,0,2,1
7,0,1,0,0,1,0,0,0,1,1,2
8,0,3,2,0,0,0,1,1,1,2,2
9,1,3,1,1,1,0,1,1,1,2,2
10,1,2,1,1,0,1,0,0,1,2,0
11,1,3,1,1,0,1,1,0,1,1,2
12,1,1,1,1,1,0,0,0,1,0,2
13,0,3,0,0,1,0,0,0,0,2,2
14,0,3,0,0,1,1,0,1,1,2,2
15,0,3,1,1,0,0,0,1,0,2,2
16,1,2,1,1,1,0,0,0,1,2,2
17,0,3,2,0,0,0,1,1,1,2,1
18,1,2,0,0,1,0,0,0,1,2,2
19,0,3,1,1,1,1,0,1,1,2,2
20,1,3,1,1,1,0,0,0,0,2,0
21,0,2,0,0,1,0,0,0,1,2,2
22,1,2,0,0,1,0,0,0,1,0,2
23,1,3,1,1,1,0,0,1,0,2,1
24,1,1,0,0,1,0,0,0,1,0,2
25,0,3,1,1,0,0,1,1,1,2,2
26,1,3,1,1,1,1,0,1,1,2,2
27,0,3,0,0,1,0,0,0,0,2,0
28,0,1,0,0,1,0,1,0,2,0,2
29,1,3,1,1,1,0,0,1,0,2,1
30,0,3,0,0,1,0,0,1,0,2,2
31,0,1,0,0,1,0,0,0,1,2,0
32,1,1,1,1,1,1,0,0,2,0,0
33,1,3,1,1,1,0,0,1,0,2,1
34,0,2,0,0,2,0,0,0,1,2,2
35,0,1,0,0,1,1,0,0,2,2,0
36,0,1,0,0,1,1,0,0,1,2,2
37,1,3,0,0,1,0,0,0,0,2,0
38,0,3,0,0,1,0,0,0,0,2,2
39,0,3,1,1,1,1,0,1,1,2,2
40,1,3,1,1,0,1,0,0,1,2,0
41,0,3,1,1,1,1,0,0,0,2,2
42,0,2,1,1,1,1,0,0,1,2,2
43,0,3,0,0,1,0,0,1,0,2,0
44,1,2,1,1,0,1,1,0,1,2,0
45,1,3,1,1,1,0,0,1,0,2,1
46,0,3,0,0,1,0,0,0,0,2,2
47,0,3,0,0,1,1,0,1,1,2,1
48,1,3,1,1,1,0,0,0,0,2,1
49,0,3,0,0,1,1,0,0,1,2,0
50,0,3,1,1,1,1,0,1,1,2,2
51,0,3,2,0,0,0,1,1,1,2,2
52,0,3,0,0,1,0,0,0,0,2,2
53,1,1,1,1,1,1,0,0,2,0,0
54,1,2,1,1,1,1,0,0,1,2,2
55,0,1,0,0,2,0,1,0,2,0,0
56,1,1,0,0,1,0,0,0,1,0,2
57,1,2,1,1,1,0,0,0,1,2,2
58,0,3,0,0,1,0,0,0,0,2,0
59,1,2,1,1,0,1,1,0,1,2,2
60,0,3,2,0,0,0,1,0,1,2,2
61,0,3,0,0,1,0,0,0,0,2,0
62,1,1,1,1,1,0,0,0,2,0,2
63,0,1,0,0,1,1,0,0,2,0,2
64,0,3,2,0,0,0,1,1,1,2,2
65,0,1,0,0,1,0,0,0,1,2,0
66,1,3,2,0,0,1,1,0,1,2,0
67,1,2,1,1,1,0,0,0,1,1,2
68,0,3,0,0,1,0,0,0,0,2,2
69,1,3,1,1,1,0,1,1,0,2,2
70,0,3,0,0,1,1,0,1,0,2,2
71,0,2,0,0,1,0,0,0,1,2,2
72,0,3,1,1,1,0,1,0,1,2,2
73,0,2,0,0,1,0,0,0,2,2,2
74,0,3,0,0,1,1,0,0,1,2,0
75,1,3,0,0,1,0,0,0,2,2,2
76,0,3,0,0,1,0,0,1,0,1,2
77,0,3,0,0,1,0,0,1,0,2,2
78,0,3,0,0,1,0,0,1,0,2,2
79,1,2,2,0,0,0,1,0,1,2,2
80,1,3,1,1,1,0,0,1,1,2,2
81,0,3,0,0,1,0,0,1,0,2,2
82,1,3,0,0,1,0,0,1,0,2,2
83,1,3,1,1,1,0,0,1,0,2,1
84,0,1,0,0,1,0,0,0,1,2,2
85,1,2,1,1,1,0,0,0,1,2,2
86,1,3,1,1,1,0,0,1,1,2,2
87,0,3,0,0,1,1,1,0,1,2,2
88,0,3,0,0,1,0,0,1,0,2,2
89,1,1,1,1,1,0,1,0,2,0,2
90,0,3,0,0,1,0,0,1,0,2,2
91,0,3,0,0,1,0,0,1,0,2,2
92,0,3,0,0,1,0,0,1,0,2,2
93,0,1,0,0,1,1,0,0,2,1,2
94,0,3,0,0,1,1,1,0,1,2,2
95,0,3,0,0,1,0,0,1,0,2,2
96,0,3,0,0,1,0,0,1,0,2,2
97,0,1,0,0,2,0,0,0,1,0,0
98,1,1,0,0,1,0,1,0,2,0,0
99,1,2,1,1,1,0,1,0,1,2,2
100,0,2,0,0,1,1,0,0,1,2,2
101,0,3,1,1,1,0,0,1,0,2,2
102,0,3,0,0,1,0,0,1,0,2,2
103,0,1,0,0,1,0,1,0,2,0,2
104,0,3,0,0,1,0,0,0,0,2,2
105,0,3,0,0,1,1,0,1,0,2,2
